location_id,lat,lng,monthly_revenue,coordinates_looker
LOC_001,50.226272,19.072973,245633.74,"50.226272,19.072973"
LOC_002,50.299999,18.674625,333393.33,"50.299999,18.674625"
LOC_003,50.042894,19.968676,296109.69,"50.042894,19.968676"
LOC_004,50.130954,19.607709,197099.19,"50.130954,19.607709"
LOC_005,50.351594,18.894944,292786.56,"50.351594,18.894944"
LOC_006,50.016769,20.01029,174307.46,"50.016769,20.01029"
LOC_007,50.283699,19.017317,526630.01,"50.283699,19.017317"
LOC_008,50.147486,18.840116,156433.13,"50.147486,18.840116"
LOC_009,50.303099,18.678924,335019.41,"50.303099,18.678924"
LOC_010,50.347639,18.921651,355288.71,"50.347639,18.921651"
LOC_011,50.121043,18.54847,306718.03,"50.121043,18.54847"
LOC_012,50.360509,19.049077,257168.85,"50.360509,19.049077"
LOC_013,50.266171,18.894791,279872.55,"50.266171,18.894791"
LOC_014,50.101874,19.929553,392436.29,"50.101874,19.929553"
LOC_015,50.315698,19.117433,266355.59,"50.315698,19.117433"
LOC_016,50.026999,19.920654,238945.93,"50.026999,19.920654"
LOC_017,50.281363,18.670286,232815.91,"50.281363,18.670286"
LOC_018,50.100659,18.99341,285754.04,"50.100659,18.99341"
LOC_019,50.261991,19.026051,623866.24,"50.261991,19.026051"
LOC_020,50.097038,19.961254,310360.75,"50.097038,19.961254"
LOC_021,50.019016,19.927269,320423.94,"50.019016,19.927269"
LOC_022,50.096971,19.912718,311493.29,"50.096971,19.912718"
LOC_023,50.225812,18.976277,262154.63,"50.225812,18.976277"
LOC_024,50.244682,20.081011,218318.13,"50.244682,20.081011"
LOC_025,49.994134,20.053555,231470.22,"49.994134,20.053555"
LOC_026,50.36527,19.027023,172988.91,"50.36527,19.027023"
LOC_027,50.306119,19.181442,288519.07,"50.306119,19.181442"
LOC_028,50.203964,19.046848,323175.63,"50.203964,19.046848"
LOC_029,50.321487,19.134686,319279.07,"50.321487,19.134686"
LOC_030,50.304572,18.91806,167860.76,"50.304572,18.91806"
LOC_031,50.100066,19.890332,353665.53,"50.100066,19.890332"
LOC_032,50.141958,19.192459,173229.08,"50.141958,19.192459"
LOC_033,50.280179,19.565872,50000.0,"50.280179,19.565872"
LOC_034,50.296747,18.658205,200235.86,"50.296747,18.658205"
LOC_035,50.07503,20.013764,259759.18,"50.07503,20.013764"
LOC_036,50.015621,19.951247,349740.94,"50.015621,19.951247"
LOC_037,50.163899,19.977864,227013.29,"50.163899,19.977864"
LOC_038,50.189307,18.62252,121446.26,"50.189307,18.62252"
LOC_039,50.05788,19.963263,473882.1,"50.05788,19.963263"
LOC_040,49.965208,18.956704,130489.86,"49.965208,18.956704"
LOC_041,49.997572,19.423463,178087.81,"49.997572,19.423463"
LOC_042,50.098404,19.998362,314978.31,"50.098404,19.998362"
LOC_043,50.253639,19.039906,573546.91,"50.253639,19.039906"
LOC_044,50.286421,18.728948,245236.06,"50.286421,18.728948"
LOC_045,50.287326,18.66314,259298.07,"50.287326,18.66314"
LOC_046,50.258876,18.934631,220894.99,"50.258876,18.934631"
LOC_047,50.276761,18.795432,249600.16,"50.276761,18.795432"
LOC_048,50.441998,18.853005,192524.6,"50.441998,18.853005"
LOC_049,50.08963,19.962518,293108.65,"50.08963,19.962518"
LOC_050,50.031498,19.810855,174053.35,"50.031498,19.810855"
